City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,qaanaaq,77.484,-69.3632,29.25,92,100,15.1,GL,1633210761
1,mehamn,71.0357,27.8492,50.72,85,98,19.35,NO,1633210761
2,esperance,-33.8667,121.9,53.44,67,64,27.09,AU,1633210761
3,chuy,-33.6971,-53.4616,55.54,82,25,7.78,UY,1633210761
4,dunedin,-45.8742,170.5036,54.81,75,94,7.0,NZ,1633210639
5,khatanga,71.9667,102.5,15.78,98,63,2.68,RU,1633210761
6,rumoi,43.9344,141.6428,59.31,58,38,15.86,JP,1633210761
7,eirunepe,-6.6603,-69.8736,84.31,64,96,2.75,BR,1633210761
8,victoria,22.2855,114.1577,85.32,83,27,4.0,HK,1633210696
9,camargo,27.6667,-105.1667,84.99,28,98,3.96,MX,1633210762
10,soyo,-6.1349,12.3689,75.2,82,61,8.46,AO,1633210762
11,ushuaia,-54.8,-68.3,42.46,70,75,19.57,AR,1633210671
12,rikitea,-23.1203,-134.9692,73.06,70,20,23.15,PF,1633210762
13,bengkulu,-3.8004,102.2655,74.01,90,53,4.61,ID,1633210762
14,bitung,1.4451,125.1824,76.05,77,100,2.15,ID,1633210762
15,lukovskaya,43.7295,44.6335,52.56,78,99,10.67,RU,1633210762
16,tasiilaq,65.6145,-37.6368,37.56,63,1,4.72,GL,1633210763
17,hermanus,-34.4187,19.2345,50.9,63,92,5.53,ZA,1633210763
18,baikunthpur,23.25,82.55,71.44,88,2,2.66,IN,1633210763
19,nuevo progreso,23.1667,-97.95,85.46,71,97,8.01,MX,1633210763
20,carnarvon,-24.8667,113.6333,55.47,88,77,8.05,AU,1633210763
21,busselton,-33.65,115.3333,48.09,52,100,12.3,AU,1633210763
22,waitati,-45.75,170.5667,54.81,75,88,6.62,NZ,1633210763
23,yulara,-25.2406,130.9889,57.04,54,0,6.91,AU,1633210763
24,sira,13.7453,76.9092,73.49,85,99,5.37,IN,1633210764
25,port-cartier,50.0334,-66.8654,46.62,90,100,2.44,CA,1633210764
26,cape town,-33.9258,18.4232,54.09,61,20,4.61,ZA,1633210702
27,new norfolk,-42.7826,147.0587,54.9,75,99,1.99,AU,1633210764
28,butaritari,3.0707,172.7902,82.65,67,83,19.8,KI,1633210764
29,benjamin constant,-4.3831,-70.0311,86.05,70,40,4.61,BR,1633210764
30,zhezkazgan,47.8043,67.7144,44.31,49,89,3.56,KZ,1633210764
31,mataura,-46.1927,168.8643,51.48,76,100,3.27,NZ,1633210764
32,vaini,-21.2,-175.2,75.36,88,75,13.8,TO,1633210476
33,punta arenas,-53.15,-70.9167,46.51,71,75,21.85,CL,1633210764
34,ambilobe,-13.2,49.05,67.33,73,26,4.7,MG,1633210765
35,savannah bight,16.45,-85.85,89.65,73,10,16.64,HN,1633210765
36,ribeira grande,38.5167,-28.7,72.07,90,44,11.43,PT,1633210765
37,san cristobal,7.7669,-72.225,80.78,60,8,4.5,VE,1633210475
38,santa cecilia,-26.9608,-50.4269,58.14,99,100,2.13,BR,1633210765
39,jamestown,42.097,-79.2353,70.18,56,1,10.36,US,1633210765
40,gambela,8.25,34.5833,69.35,94,100,2.89,ET,1633210766
41,sayyan,15.1718,44.3244,63.97,46,97,3.29,YE,1633210766
42,puerto ayora,-0.7393,-90.3518,70.52,84,94,10.76,EC,1633210766
43,onguday,50.75,86.15,25.65,90,96,3.51,RU,1633210766
44,upernavik,72.7868,-56.1549,29.73,74,80,4.56,GL,1633210766
45,barrow,71.2906,-156.7887,30.22,80,90,16.11,US,1633210766
46,sao filipe,14.8961,-24.4956,79.52,82,28,9.24,CV,1633210766
47,hithadhoo,-0.6,73.0833,82.6,75,13,12.1,MV,1633210767
48,sorland,67.667,12.6934,52.54,87,100,7.2,NO,1633210767
49,yendi,9.4427,-0.0099,77.99,81,33,5.53,GH,1633210767
50,bilma,18.6853,12.9164,83.91,19,0,7.27,NE,1633210767
51,etaples,50.5219,1.6332,64.4,94,90,16.11,FR,1633210767
52,bathsheba,13.2167,-59.5167,86.61,66,40,23.02,BB,1633210767
53,souillac,-20.5167,57.5167,73.36,83,75,13.8,MU,1633210767
54,kunyang,27.6658,120.5658,68.65,87,4,2.3,CN,1633210768
55,port alfred,-33.5906,26.891,54.09,64,50,23.35,ZA,1633210768
56,lorengau,-2.0226,147.2712,82.81,72,100,3.4,PG,1633210768
57,muros,42.7762,-9.0603,71.17,92,100,30.09,ES,1633210768
58,fortuna,40.5982,-124.1573,67.93,74,40,1.99,US,1633210768
59,saskylakh,71.9167,114.0833,21.02,97,100,3.74,RU,1633210768
60,bluff,-46.6,168.3333,51.8,82,100,8.03,NZ,1633210768
61,liyang,29.7057,118.2862,71.38,88,0,3.38,CN,1633210768
62,champerico,14.3,-91.9167,88.36,72,35,7.61,GT,1633210768
63,phanom sarakham,13.7479,101.3553,79.83,92,100,2.57,TH,1633210769
64,yellowknife,62.456,-114.3525,51.42,71,75,14.97,CA,1633210474
65,hobart,-42.8794,147.3294,55.26,97,75,1.01,AU,1633210769
66,waipawa,-41.4122,175.5153,55.45,64,100,3.94,NZ,1633210769
67,la serena,-29.9078,-71.2542,60.31,63,0,16.11,CL,1633210769
68,aklavik,68.2191,-135.0107,36.43,100,90,10.36,CA,1633210769
69,riyadh,24.6877,46.7219,82.54,13,19,4.94,SA,1633210514
70,san bartolome de tirajana,27.9248,-15.5733,66.67,82,0,20.71,ES,1633210769
71,komsomolskiy,40.4272,71.7189,54.32,62,98,4.61,UZ,1633210769
72,praya,14.9215,-23.5087,84.74,70,20,10.36,CV,1633210769
73,alofi,-19.0595,-169.9187,78.69,83,85,16.11,NU,1633210770
74,tautira,-17.7333,-149.15,86.02,75,31,13.62,PF,1633210770
75,berezovyy,51.6667,135.7,35.06,75,27,3.67,RU,1633210770
76,moose factory,51.2585,-80.6094,57.2,62,1,6.91,CA,1633210770
77,kieta,-6.2167,155.6333,82.49,74,100,3.67,PG,1633210771
78,cabo san lucas,22.8909,-109.9124,87.51,83,90,6.91,MX,1633210771
79,flin flon,54.7682,-101.865,66.04,34,40,4.61,CA,1633210771
80,kunigal,13.0222,77.0267,69.64,94,63,7.2,IN,1633210771
81,cherskiy,68.75,161.3,25.99,97,100,8.03,RU,1633210771
82,longyearbyen,78.2186,15.6401,37.24,87,75,3.44,SJ,1633210772
83,bredasdorp,-34.5322,20.0403,46.27,81,100,5.75,ZA,1633210772
84,acheng,45.5454,126.977,53.53,63,99,13.91,CN,1633210772
85,nalobikha,53.2006,84.6039,31.03,92,100,10.27,RU,1633210772
86,nantucket,41.2835,-70.0995,69.91,71,1,21.85,US,1633210773
87,krasnoselkup,65.7,82.4667,28.15,96,100,8.93,RU,1633210773
88,lagoa,39.05,-27.9833,70.59,90,98,15.75,PT,1633210773
89,santa clara,22.4,-79.9667,82.06,74,75,10.36,CU,1633210773
90,tuktoyaktuk,69.4541,-133.0374,37.4,93,90,10.36,CA,1633210773
91,mariinskiy posad,56.115,47.718,45.54,91,100,3.31,RU,1633210773
92,jalu,29.0331,21.5482,72.77,42,0,8.75,LY,1633210773
93,kapaa,22.0752,-159.319,82.72,69,75,5.01,US,1633210773
